"time","Litter","CWD","Organic","DOM","MIC","P","L","A","M","B","Detritivore","Predator","Scenario","Run","Run2","PARS","YSTABLE"
"1","117.372387870044","313.8545747089","599.690182708126","10.93735877359","0.141307624981562","79.0996523233671","4.74089569794492","258.614731220526","771.54047884653","9.22204318167998","0.147696165182283","0.104373871755847","Full","34424017","45189385","0.00567","117.372387870044"
"2","116.199207886243","314.19361946543","601.123929337156","10.3439913174608","0.14097260189226","79.4529038953957","5.19722169845659","258.592428705451","771.602060224537","9.08968713698675","0.147713972187782","0.104373344215189","Full","34424017","45189385",NA,"313.8545747089"
"3","115.030832320134","314.533782914766","602.546602289798","9.79878952428988","0.140626648598448","79.8038857824702","5.55280839659395","258.574043320525","771.659502677978","8.98124410894258","0.147731911241406","0.104372823534394","Full","34424017","45189385",NA,"599.690182708126"
"4","113.868545274747","314.875001089394","603.958153725981","9.29731434623081","0.140270544028686","80.152449935013","5.82670430153146","258.55943854171","771.713675535399","8.89061619121923","0.147749979294456","0.104372309757799","Full","34424017","45189385",NA,"10.93735877359"
"5","112.710616596124","315.217209721282","605.358521604589","8.83557644832302","0.139905052735532","80.4985055525237","6.03409826657077","258.548485733106","771.765205784181","8.8131784809918","0.147768172615313","0.104371802928503","Full","34424017","45189385",NA,"0.141307624981562"
"6","111.559571017081","315.560344277661","606.747658249845","8.40998895084229","0.139530921594369","80.8420034799125","6.18724190084448","258.541064045556","771.814540625029","8.745401578341","0.147786488226077","0.104371303088288","Full","34424017","45189385",NA,"79.0996523233671"
"7","110.414267250108","315.90433998939","608.125514169427","8.01732461350818","0.139148877131911","81.1829247111226","6.29609935222049","258.537060299653","771.861992366181","8.68458721466242","0.147804923087863","0.10437081027781","Full","34424017","45189385",NA,"4.74089569794492"
"8","109.276204959345","316.249131881468","609.492056919946","7.65467811996709","0.138759623339365","81.5212716746589","6.36882585588185","258.536368859204","771.90777185402","8.6286751750626","0.147823475054307","0.10437032453682","Full","34424017","45189385",NA,"258.614731220526"
"9","108.144614827068","316.594654804875","610.84722347136","7.31943166304669","0.138363839970811","81.8570616910228","6.4121214596032","258.538891497152","771.952013304636","8.57610202491425","0.147842140455632","0.104369845903849","Full","34424017","45189385",NA,"771.54047884653"
"10","107.021488583569","316.940843470643","612.190992973946","7.00922613156422","0.137962181253065","82.1903218722485","6.43150817035656","258.544537247334","771.994793645012","8.52569188432044","0.147860917774923","0.104369374416579","Full","34424017","45189385",NA,"9.22204318167998"
"11","105.906026081748","317.28763248497","613.523331621068","6.72193335610145","0.137555275003957","82.5210852739112","6.43154291905574","258.553222244621","772.036147158585","8.47657381222368","0.147879804865619","0.104368910111954","Full","34424017","45189385",NA,"0.147696165182283"
"12","104.800008861909","317.634956385892","614.844219537999","6.45563277055023","0.137143722091403","82.849387903823","6.41598888396433","258.564869548961","772.076076982297","8.42811653037907","0.147898800306347","0.104368453026297","Full","34424017","45189385",NA,"0.104373871755847"
"13","103.701015113971","317.982749680177","616.15362016552","6.20858990552982","0.136728096197157","83.1752664564451","6.38795133979952","258.579408957568","772.11456392404","8.37987769478982","0.147917901843869","0.104368003195038","Full","34424017","45189385",NA,NA
"14","102.610827229522","318.33094682556","617.451501899975","5.97923642449302","0.136308944254848","83.4987565471836","6.34999400064483","258.596776749391","772.151573552609","8.33156192607943","0.14793710748972","0.104367560653097","Full","34424017","45189385",NA,NA
"15","101.529876069275","318.679482609494","618.737846634295","5.76616058219968","0.1358867841308","83.8198912117647","6.30422078251601","258.616915761077","772.187061817781","8.28298893908471","0.147956415941576","0.104367125434483","Full","34424017","45189385",NA,NA
"16","100.457696309234","319.028291394743","620.012629087533","5.56807382348291","0.135462111404611","84.1387003728954","6.25237908814878","258.639774387323","772.220978678765","8.23406489275143","0.14797582553764","0.104366697572932","Full","34424017","45189385",NA,NA
"17","99.3946080806052","319.377308061053","621.27582918933","5.38381881817953","0.135035392541161","84.4552095772272","6.1958898469131","258.665307206869","772.253271904642","8.18476463762308","0.147995334881168","0.104366277101405","Full","34424017","45189385",NA,NA
"18","98.3406647200785","319.72646753681","622.527423291495","5.21234536046347","0.134607069790474","84.7694397354637","6.13591957612501","258.693474222561","772.283889250416","8.13511259841913","0.148014942389689","0.10436586405236","Full","34424017","45189385",NA,NA
"19","97.2964293799568","320.075704945248","623.767394029865","5.05270168469282","0.134177561240525","85.0814067251695","6.07342202843257","258.724240637151","772.312780362232","8.08516930062163","0.148034646788148","0.104365458457673","Full","34424017","45189385",NA,NA
"20","96.2621648743132","320.424955638658","624.995731476916","4.90402509063319","0.133747261660811","85.3911211528656","6.00917425891384","258.757576554021","772.339898114484","8.03502074525698","0.148054447168862","0.104365060348842","Full","34424017","45189385",NA,NA
"21","95.2374406772794","320.774155229426","626.212419563845","4.76553288790762","0.133316543485531","85.6985882286862","5.94380768485905","258.793456643595","772.365199578686","7.98476979429885","0.148074342301783","0.104364669756962","Full","34424017","45189385",NA,NA
"22","94.2223243985186","321.123239618034","627.417442673134","4.63651466477642","0.132885757824212","86.0038077232954","5.87783391906949","258.83185979683","772.388646688967","7.93452943933749","0.148094330961217","0.104364286712641","Full","34424017","45189385",NA,NA
"23","93.2168672295207","321.47214501753","628.610786133539","4.51632521759995","0.132455235498997","86.3067739928015","5.81166633799988","258.872768765636","772.410206674857","7.88441757924147","0.148114411948601","0.104363911246031","Full","34424017","45189385",NA,NA
"24","92.2211053059051","321.820807974036","629.792436068896","4.40437817669318","0.132025288090225","86.6074760563572","5.74563804742973","258.916169792334","772.429852315448","7.8345530278573","0.148134584082252","0.104363543386834","Full","34424017","45189385",NA,NA
"25","91.2350609617176","322.169165382913","630.962379286591","4.3001402654209","0.131596208980063","86.9058977159956","5.68001682109822","258.962052230322","772.447562058329","7.78505251930477","0.148154846189665","0.104363183164302","Full","34424017","45189385",NA,NA
"26","90.2587439115745","322.517154500285","632.120603170259","4.20312612668126","0.131168274384629","87.2020177098721","5.61501749315182","259.010408158295","772.463320037766","7.7360285186979","0.148175197100438","0.104362830607244","Full","34424017","45189385",NA,NA
"27","89.2921523621092","322.864712949661","633.267095575344","4.11289365878958","0.130741744366794","87.4958098917853","5.55081220975804","259.061231990471","772.477116019279","7.68758767948217","0.148195635639791","0.104362485744021","Full","34424017","45189385",NA,NA
"28","88.335274054417","323.211778723528","634.401844726373","4.02903980946494","0.130316863823283","87.7872434311141","5.48753888159566","259.11452008531","772.488945291793","7.63982981633845","0.148216160622636","0.104362148602548","Full","34424017","45189385",NA,NA
"29","87.3881109369793","323.558290179802","635.524839118096","3.9511967821652","0.129893863441005","88.0762830283307","5.42530812599121","259.170270355205","772.498808523717","7.59284728572645","0.148236770848341","0.104361819210291","Full","34424017","45189385",NA,NA
"30","86.450659316467","323.904186033166","636.636067912085","3.87902862588812","0.129472960618","88.362889141846","5.36420893956776","259.228481879776","772.506711595466","7.54672468545834","0.14825746512094","0.104361497594253","Full","34424017","45189385",NA,NA
"31","85.522837957255","324.249405341315","637.735520570422","3.81222814002288","0.129054360348101","88.6470182233493","5.30431331681119","259.289154524135","772.512665417296","7.50153880103918","0.148278242231309","0.104361183780974","Full","34424017","45189385",NA,NA
"32","84.6046729288063","324.593887486431","638.823185903153","3.75051408639409","0.128638256061406","88.928622957034","5.24567996042234","259.352288567875","772.51668574111","7.4573587376667","0.148299100911919","0.104360877796575","Full","34424017","45189385",NA,NA
